Missile_ID,Missile_Name,Alternate_Name,Country_of_Origin,Country_of_Possession,Missile_Class,Missile_Type,Length_m,Launch_Weight_kg,Warhead_Type,Range_min_km,Range_max_km,Year_Introduced,Operational_Status,Launch_Basing,Diameter_m,Payload_kg,Propulsion_Type,Notes,
ISR027,Maritime Extended Range Missile,Advanced Naval Missile,Israel,Israel,Naval Strike Missile,Strike,5.5,1300,HE blast/penetration,350,350,2022,Operational,Ship-launched,0.4,150,Turbojet,Advanced naval strike missile for Israeli Navy,
ISR028,MARS,LAR-160,Israel,Israel,Multiple Launch Rocket System,Strike,4,650,"HE, submunitions",45,45,1980,Operational,Ground-launched,0.2,100,Solid propellant,Multiple artillery rocket system,
ISR029,ACCULAR,Precision Rocket,Israel,Israel,Guided Artillery Rocket,Strike,4,650,HE blast/penetration,40,40,2015,Operational,Ground-launched,0.2,120,Solid propellant,Precision-guided rocket; 10m CEP; based on LAR-160,
ISR030,RA'AM,Heavy Missile Family,Israel,Israel,Heavy Air-to-Surface Missile,Strike,4.5,1200,HE penetration,100,100,1980,Operational,Air-launched,0.4,300,Solid propellant,Heavy air-to-surface missile family for IAF,
ISR031,Gabriel Family,Family of Anti-Ship Missiles,Israel,Israel,Anti-Ship Missile,Strike,4.45,875,HE blast,35,400,1970,Operational,"Ship, ground, air-launched",0.35,125,Turbojet/rocket,Evolutionary family of anti-ship missiles; Gabriel I-V variants,
KOR001,Hyunmoo-1,NHK-1,South Korea,South Korea,Short-Range Ballistic Missile,Strike,12,5000,High Explosive,150,180,1986,Obsolete,Road-mobile,0.8,500,Single-stage solid propellant,First South Korean indigenous missile; based on US Nike-Hercules technology,
KOR002,Hyunmoo-2A,NHK-2A,South Korea,South Korea,Short-Range Ballistic Missile,Strike,12,5400,"High explosive, submunitions",300,300,2008,Operational,Road-mobile,0.9,997,Two-stage solid propellant,30m CEP accuracy; part of Kill Chain preemptive strike strategy,
KOR003,Hyunmoo-2B,NHK-2B,South Korea,South Korea,Short-Range Ballistic Missile,Strike,12,5400,"High explosive, submunitions",500,500,2009,Operational,Road-mobile,0.9,1000,Two-stage solid propellant,Improved range variant of Hyunmoo-2 family,
KOR004,Hyunmoo-2C,NHK-2C,South Korea,South Korea,Short-Range Ballistic Missile,Strike,12,5400,"High explosive, submunitions",800,800,2015,Operational,Road-mobile,0.9,1000,Two-stage solid propellant,Extended range variant with precision guidance,
KOR005,Hyunmoo-3A,,South Korea,South Korea,Cruise Missile,Strike,6,1500,High explosive,500,500,2006,Operational,"Ship, submarine, ground-launched",0.5,450,Turbojet,First South Korean cruise missile; Tomahawk-like design,
KOR006,Hyunmoo-3B,,South Korea,South Korea,Cruise Missile,Strike,6,1500,High explosive,1000,1000,2009,Operational,"Ship, submarine, ground-launched",0.5,450,Turbojet,Improved range variant,
KOR007,Hyunmoo-3C,,South Korea,South Korea,Cruise Missile,Strike,6,1500,High explosive,1500,1500,2012,Operational,"Ship, submarine, ground-launched",0.5,450,Turbojet,Longest-range Hyunmoo cruise missile; can reach targets across Northeast Asia,
KOR008,Hyunmoo-3D,,South Korea,South Korea,Cruise Missile,Strike,6,1500,High explosive,1500,1500,2020,In development,"Ship, submarine, ground-launched",0.5,450,Turbojet,Advanced variant with enhanced stealth features,
KOR009,Hyunmoo-4,,South Korea,South Korea,Short-Range Ballistic Missile,Strike,12,5400,High explosive,800,800,2017,Operational,Road-mobile,0.9,1000,Two-stage solid propellant,Enhanced penetration capability for hardened targets,
KOR010,Hyunmoo-4-4,,South Korea,South Korea,Submarine-Launched Ballistic Missile,Strike,12,5400,High explosive,500,500,2021,Operational,Submarine-launched,0.9,1000,Two-stage solid propellant,First South Korean SLBM; launched from Dosan Ahn Changho-class submarine,
KOR011,Hyunmoo-5,,South Korea,South Korea,Intermediate-Range Ballistic Missile,Strike,15.5,36000,Conventional high explosive; 8-9 ton penetrator,300,5000,2025,Operational,Road-mobile,1.6,8500,Two-stage solid propellant,Monster missile' with 8-9 ton warhead; can penetrate 100m underground,
KOR012,Haeseong-1,SSM-700K,South Korea,South Korea,Anti-Ship Cruise Missile,Strike,5,800,High explosive,150,150,2005,Operational,"Ship, ground-launched",0.4,250,Turbojet,Korean version of Harpoon; also called Sea Star,
KOR013,Haeseong-2,,South Korea,South Korea,Supersonic Cruise Missile,Strike,6,1200,High explosive,300,300,2015,Operational,"Ship, submarine-launched",0.5,300,,Supersonic anti-ship cruise missile,
KOR014,Haeseong-3,,South Korea,South Korea,Land-Attack Cruise Missile,Strike,6.5,1600,High explosive,1500,1500,2018,Operational,"Ship, submarine-launched",0.5,500,Turbojet,Long-range land attack variant,
KOR015,Haeseong-5,Yakhont-derived,South Korea,South Korea,Supersonic Anti-Ship Cruise Missile,Strike,8,2500,High explosive,300,300,2025,Operational,Submarine-launched,0.7,300,Solid booster + ramjet,Derived from Russian Yakhont technology; can also strike land targets,
KOR016,KALCM Cheonryong,Celestial Dragon,South Korea,South Korea,Air-Launched Cruise Missile,Strike,6,1200,High explosive,400,400,2024,Operational,Air-launched,0.5,450,Turbojet,Designed for FA-50 Block 20 and KF-21 fighters,
KOR017,SASM,Air-to-Ship Missile II,South Korea,South Korea,Supersonic Air-to-Surface Missile,Strike,5,1000,High explosive,200,200,2025,In development,Air-launched,0.4,250,Ramjet,Multi-purpose supersonic system for anti-ship and ground targets,
KOR018,L-MSM,Modular Smart Missile,South Korea,South Korea,Multi-Purpose Air-to-Air Missile,Interceptor,3,113,Modular,300,500,2028,In development,Air-launched,0.2,20,,Modular nose section for different missions; IIR guidance,
KOR019,L-MCM,Multi-Purpose Cruise Missile,South Korea,South Korea,Multi-Purpose Cruise Missile,Strike,4,454,Penetrating high explosive,500,500,2029,In development,Ground or anti-ship launch,0.4,200,,Network-oriented platform; IIR+CMOS guidance,
KOR020,HYCORE,,South Korea,South Korea,Hypersonic Cruise Missile,Strike,8.7,2400,High explosive,,,2025,In development,"Ground, naval, air-launched",0.6,300,Two-stage solid booster + scramjet,Speed Mach 6.2; scramjet-powered; vertical launch capable,
TWN001,Chiang Kung,TK-4,Taiwan,Taiwan,Surface-to-Air Missile,Interceptor,7,2000,Directed-fragmentation,100,200,2025,Operational,Ground-launched,0.5,,Two-stage solid propellant,Mid-tier layer for ballistic missile defense; interception altitude >70km,
TWN002,Tien Kung III,TK-3,Taiwan,Taiwan,Surface-to-Air Missile,Interceptor,5.3,900,High explosive,45,200,2015,Operational,Ground-launched,0.4,,Two-stage solid propellant,Maximum engagement altitude 45km; part of T-Dome network,
TWN003,Patriot PAC-3 MSE,Patriot Advanced Capability-3,USA,Taiwan,Surface-to-Air Missile,Interceptor,5.2,312,Hit-to-Kinetic,35,70,2026,Operational,Ground-launched,0.25,,Solid propellant,Most advanced Patriot variant; hit-to-kill capability,
TWN004,Patriot PAC-3,PAC-3 CRI,USA,Taiwan,Surface-to-Air Missile,Interceptor,5.2,312,Hit-to-Kinetic,20,40,2007,Operational,Ground-launched,0.25,,Solid propellant,Older Patriot variant being supplemented by MSE version,
TWN005,FIM-92 Stinger,MANPADS,USA,Taiwan,Short-Range Air Defense,Interceptor,1.5,15.2,HE blast-fragmentation,4,8,1985,Operational,"Man-portable, vehicle-mounted, air-launched",0.07,3,Solid propellant,"Full family operated: MANPADS, Avenger, dual-mount tripod",
TWN006,Hsiung Feng IIE,Thunderbolt IIE,Taiwan,Taiwan,Land-Attack Cruise Missile,Strike,6,1000,"HE, cluster, bunker-buster",300,1500,2008,Operational,"Ground-mobile, Air-launched",0.5,363.5,Turbojet + solid booster,Secretive Tomahawk-like missile; TERCOM+GPS guidance,
TWN007,Hsiung Sheng,Extended-range HF-2E,Taiwan,Taiwan,Long-Range Land-Attack Cruise Missile,Strike,6.2,1200,"HE, Dispersal",1200,1200,2024,Operational,Ground-mobile,0.5,450,Turbojet + solid booster,Extended-range variant of HF-2E; over 100 units produced; Mach 0.85,
TWN008,Yun Feng 2,Cloud Peak 2,Taiwan,Taiwan,Hypersonic Cruise Missile,Strike,8,2000,,2000,2000,2025,Operational,Ground-mobile,0.7,,Scramjet/Ramjet,Hypersonic missile; Mach 6; mass production began Dec 2024,
TWN009,Yun Feng 1,Cloud Peak 1,Taiwan,Taiwan,Hypersonic Cruise Missile,Strike,7.5,1800,"Semi-armor piercing HE, fragmentation",1200,2000,2019,Operational,Ground-mobile,0.7,250,Two-stage solid rocket,Speed up to Mach 3.5; 20 missiles initially produced,
TWN010,Hsiung Feng III,Bee III,Taiwan,Taiwan,Supersonic Anti-Ship Missile,Strike,6.1,1450,HE semi-armor piercing,150,400,2007,Operational,"Ship, coastal defense, air-launched",0.45,225,Ramjet + solid booster,Supersonic anti-ship missile; upgraded versions in production,
TWN011,Hsiung Feng II,Bee II,Taiwan,Taiwan,Subsonic Anti-Ship Cruise Missile,Strike,4.8,685,HE semi-armor piercing,148,200,1990,Operational,"Ship, coastal defense, air-launched",0.4,190,Turbojet,Harpoon-equivalent; upgraded variants with advanced EW resistance,
TWN012,Wan Chien,Ten Thousand Swords,Taiwan,Taiwan,Air-Launched Stand-Off Weapon,Strike,4,500,Cluster munitions/HE,70,200,2020,Operational,Air-launched,0.4,200,Turbojet,Glide bomb with wings; GPS/INS guidance; 150 missiles produced,
TWN013,Tien Chien IIA,Sky Sword IIA,Taiwan,Taiwan,Air-Launched Anti-Radiation Missile,Strike,3.6,184,HE fragmentation,50,100,2015,Operational,Air-launched,0.2,22,Solid propellant,HARM-equivalent; passive radar seeker,
TWN014,Tien Chien II,Sky Sword II,Taiwan,Taiwan,Medium-Range Air-to-Air Missile,Interceptor,3.6,184,HE blast-fragmentation,60,60,1999,Operational,Air-launched,0.2,22,Solid propellant,Active radar homing; BVR capability,
TWN015,Tien Chien I,Sky Sword I,Taiwan,Taiwan,Short-Range Air-to-Air Missile,Interceptor,2.9,90,HE blast-fragmentation,8,8,1993,Operational,Air-launched,0.13,10,Solid propellant,AIM-9L equivalent; infrared homing,
TWN016,Chien Hsiang,Sword Phaser,Taiwan,Taiwan,Loitering Munition,Strike,2.2,60,HE fragmentation,500,500,2025,Operational,"Ground-mobile, ship-launched",0.2,20,Electric motor,Anti-radiation drone; nearly 200 produced; locates and strikes enemy radars,
TWN017,Hsiung Feng I,Bee I,Taiwan,Taiwan,Anti-Ship Missile,Strike,3.4,537,HE,35,35,1978,Obsolete,"Ship, coastal defense",0.34,150,Liquid rocket,First indigenous anti-ship missile; Israeli Gabriel derivative,
TWN018,Qing Feng,Green Bee,Taiwan,Taiwan,Short-Range Ballistic Missile,Strike,6,1500,HE,100,120,1981,Obsolete,Ground-mobile,0.6,400,Solid propellant,First Taiwanese ballistic missile; based on US MGM-52 Lance technology,
TWN019,Tien Kung I,Sky Bow I,Taiwan,Taiwan,Surface-to-Air Missile,Interceptor,5.5,870,HE,40,40,1993,Operational,Ground-launched,0.4,,Solid propellant,First indigenous SAM; being phased out,
TWN020,Land-Based Hsiung Feng IIE,Coastal Defense Cruise Missile,Taiwan,Taiwan,Land-Attack Cruise Missile,Strike,6,1000,HE/bunker-buster,600,600,2010,Operational,Ground-mobile,0.5,400,Turbojet + booster,Coastal defense variant; 500+ units in service,
PRK001,Hwasong-5,Scud-B,North Korea,North Korea,Short-Range Ballistic Missile,Strike,10.9,,Conventional/Nuclear,300,330,,Operational,,0.88,1000,Liquid,Early Scud variant,
PRK002,Hwasong-6,Scud-C,North Korea,North Korea,Short-Range Ballistic Missile,Strike,10.9,,Conventional/Nuclear/WMD,500,500,,Operational,,0.88,770,Liquid,Widely exported,
PRK003,Hwasong-7,Nodong/Rodong,North Korea,North Korea,Medium-Range Ballistic Missile,Strike,15.75,,Nuclear/Conventional/Chemical/Bio,1300,1500,,Operational,,1.275,950,Liquid,300+ missiles estimated,
PRK004,Hwasong-9,Scud-ER,North Korea,North Korea,Medium-Range Ballistic Missile,Strike,13.5,,Conventional/Nuclear/Chemical/Bio,1000,1000,,Operational,,0.88,625,Liquid,Extended range Scud variant,
PRK005,Hwasong-10,Musudan/BM-25,North Korea,North Korea,Intermediate-Range Ballistic Missile,Strike,11.5,,Nuclear/Conventional,3200,3860,,Deployed,,1.5,575,Liquid,R-27/SS-N-6 derivative,
PRK006,Hwasong-11,KN-02,North Korea,North Korea,Tactical Short-Range Ballistic Missile,Strike,6.4,,Conventional/Nuclear,100,120,,Operational,,0.65,375,Solid,SS-21 Scarab derivative,
PRK007,Hwasong-12,KN-17,North Korea,North Korea,Intermediate-Range Ballistic Missile,Strike,17.4,,Nuclear,4500,4500,,Testing,,1.65,,Liquid,Hypersonic capable variant Hwasong-12B,
PRK008,Hwasong-13,KN-08,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,19.24,,Nuclear,11500,11500,,Testing,,1.9,500,Liquid,Three-stage design,
PRK009,Hwasong-14,KN-20/KN-14,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,19.65,,Nuclear,10000,10000,,Testing,,1.8,,Liquid,Reached CONUS range,
PRK010,Hwasong-15,KN-22,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,21.9,,Nuclear/Super-heavy warhead,13000,13000,,Operational,,2.2,2750,Liquid,Full US mainland reach,
PRK011,Hwasong-16,Hwasong-16A/16B,North Korea,North Korea,Intermediate-Range Ballistic Missile,Strike,21,,MaRV/HGV,5500,9000,,Operational,,2.1,,Solid,First solid-fuel IRBM,
PRK012,Hwasong-17,KN-28,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,25,,Nuclear/MIRV-capable,13000,13000,,Operational,,2.7,2750,Liquid,Most powerful liquid ICBM,
PRK013,Hwasong-18,,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,23,,Nuclear,10000,10000,,Operational,,2.35,,Solid,First solid-fuel ICBM,
PRK014,Hwasong-19,,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,23,,Nuclear,10000,10000,,Testing,,2.35,,Solid,Tested October 2024,
PRK015,Hwasong-20,,North Korea,North Korea,Intercontinental Ballistic Missile,Strike,25,,Nuclear,12000,12000,,Deployed,,2.65,,Solid,Carbon-fiber construction,
PRK016,Pukguksong-1,KN-11,North Korea,North Korea,Submarine-Launched Ballistic Missile,Strike,9,,Nuclear,2000,2500,,Testing,,1.5,,Liquid/Solid,Submarine-launched,
PRK017,Pukguksong-2,KN-15,North Korea,North Korea,Medium-Range Ballistic Missile,Strike,9.5,,Nuclear,2000,2500,,Testing,,1.45,,Solid,Land-based SLBM variant,
PRK018,Pukguksong-3,,North Korea,North Korea,Submarine-Launched Ballistic Missile,Strike,8.5,,Nuclear,2500,2500,,Testing,,1.55,,Solid,Improved SLBM,
PRK019,Pukguksong-4,,North Korea,North Korea,Submarine-Launched Ballistic Missile,Strike,9.5,,Nuclear,2500,2500,,R&D,,1.65,,Solid,Parade debut 2020,
PRK020,Pukguksong-5,,North Korea,North Korea,Submarine-Launched Ballistic Missile,Strike,10.5,,Nuclear,3000,3000,,R&D,,1.75,,Solid,Parade debut 2021,
PRK021,KN-23,Hwasong-11A,North Korea,North Korea,Short-Range Ballistic Missile,Strike,7.5,,Nuclear/Conventional,450,600,,Operational,,1.05,750,Solid,Iskander-like design,
PRK022,KN-24,Hwasong-11B,North Korea,North Korea,Short-Range Ballistic Missile,Strike,7.5,,Nuclear/Hwasan-31,400,400,,Operational,,1.1,450,Solid,1000+ delivered to frontline,
PRK023,KN-25,Hwasong-11C,North Korea,North Korea,Short-Range Ballistic Missile,Strike,8.5,,Conventional/Nuclear,400,400,,Operational,,1.2,375,Solid,Large-caliber guided rocket,
PRK024,Hwasal-1,KN-28,North Korea,North Korea,Land-Attack Cruise Missile,Strike,6.5,,Conventional/Nuclear,1500,1500,,Operational,,0.65,500,Turbojet,Land-attack cruise missile,
PRK025,Hwasal-2,KN-32,North Korea,North Korea,Land-Attack Cruise Missile,Strike,7.5,,Conventional/Nuclear,2000,2000,,Operational,,0.65,500,Turbojet,Extended range cruise missile,
PRK026,Hwasong-8,,North Korea,North Korea,Hypersonic Missile,Strike,17,,HGV,3000,5000,,Testing,,1.8,,Liquid,First HGV test 2021,
PRK027,Hwasong-16B,HS-16Na,North Korea,North Korea,Intermediate-Range Ballistic Missile,Strike,21,,HGV,5500,5500,,Operational,,2.1,,Solid,Confirmed HGV tests 2024-2025,
PRK028,Taepodong-1,Paektusan,North Korea,North Korea,Space Launch Vehicle,SLV,24,,N/A,2000,2900,,Operational,,1.065,150,Liquid,Satellite launch vehicle,
PRK029,Taepodong-2,Unha-2,North Korea,North Korea,Space Launch Vehicle,SLV,29,,N/A,6000,9000,,Operational,,1.825,300,Liquid,Satellite launch vehicle,
PRK030,Unha-3,Taepodong-3,North Korea,North Korea,Space Launch Vehicle,SLV,30,,N/A,10000,12000,,Operational,,1.825,550,Liquid,Satellite launch vehicle,
PRK031,Kumsong-1,KN-1,North Korea,North Korea,Anti-Ship Cruise Missile,Strike,5.75,,Conventional,110,150,,Operational,,0.55,275,Turbojet,SS-N-1 Styx derivative,
PRK032,Pongae-5,KN-06,North Korea,North Korea,Surface-to-Air Missile,Interceptor,6.5,,High-explosive,150,200,,Operational,,0.55,125,Solid,Surface-to-air missile,
PAK001,SMASH,,Pakistan,Pakistan,Hypersonic Anti-Ship Ballistic Missile,Strike,,,HE,290,350,2025,Operational,Ship,,,,Single-stage dual-thrust solid,Mach 2+ terminal; dual-role anti-ship/land-attack
PAK002,Taimoor,,Pakistan,Pakistan,Air-Launched Cruise Missile,Strike,,,Conventional,600,600,2026,Operational,Air,,,,,Low-altitude terrain-hugging capability
PAK003,Fatah-4,,Pakistan,Pakistan,Ground-Launched Cruise Missile,Strike,,1530,HE,750,750,2025,Operational,Ground,,,,Turbojet,5m CEP accuracy; carries 3 canisters per TEL
PAK004,Shaheen-III,,Pakistan,Pakistan,Medium-Range Ballistic Missile,Strike,,,Nuclear/Conventional,2750,2750,2015,Operational,Ground,,,,Solid propellant,Pakistan's longest-range missile; covers all of India
PAK005,Ababeel,,Pakistan,Pakistan,Medium-Range Ballistic Missile with MIRV,Strike,,,Nuclear,2200,2200,2017,Operational,Ground,,,,Solid propellant,Multiple independently targetable warheads; response to Indian BMD
PAK006,Ghauri,Hatf-V,Pakistan,Pakistan,Medium-Range Ballistic Missile,Strike,15.9,,Nuclear/Conventional,1250,1500,1998,Operational,Ground,1.35,,Liquid propellant,Based on North Korean Nodong design; covers major Indian cities,
PAK007,Shaheen-II,,Pakistan,Pakistan,Medium-Range Ballistic Missile,Strike,,,Nuclear/Conventional,2000,2000,2004,Operational,Ground,,,,Solid propellant,Improved accuracy over Shaheen-I
PAK008,Shaheen-I,,Pakistan,Pakistan,Short-Range Ballistic Missile,Strike,,,Nuclear/Conventional,750,750,1999,Operational,Ground,,,,Solid propellant,Cover eastern India
PAK009,Ghauri-II,,Pakistan,Pakistan,Medium-Range Ballistic Missile,Strike,,,Nuclear/Conventional,2000,2000,2002,Operational,Ground,,,,Liquid propellant,Upgraded Ghauri variant
PAK010,Babur,Hatf-VII,Pakistan,Pakistan,Land-Attack Cruise Missile,Strike,,,,,,,,,,,,,
PAK010,Babur,Hatf-VII,Pakistan,Pakistan,Land-Attack Cruise Missile,Strike,,,Nuclear/Conventional,350,700,2005,Operational,Ground,,,,Turbojet,Multiple variants including Block 2 with stealth features
PAK011,Babur-3,,Pakistan,Pakistan,Submarine-Launched Cruise Missile,Strike,,,Nuclear,450,450,2017,Operational,Submarine,,,,Turbojet,Nuclear second-strike capability; tested from submerged platform
PAK012,Ra'ad,Hatf-VIII,Pakistan,Pakistan,Air-Launched Cruise Missile,Strike,,,Nuclear,350,350,2007,Operational,Air,,,,Turbojet,Stand-off range weapon
PAK013,Ra'ad-II,,Pakistan,Pakistan,Air-Launched Cruise Missile,Strike,,,Nuclear/Conventional,600,600,2016,Operational,Air,,,,Turbojet,Improved guidance and range
PAK014,Nasr,Hatf-IX,Pakistan,Pakistan,Tactical Nuclear Weapon,Strike,,,Nuclear,60,70,2011,Operational,Ground,,,,Solid propellant,Battlefield weapon; full-spectrum deterrence; quick response
PAK015,Ghaznavi,Hatf-III,Pakistan,Pakistan,Short-Range Ballistic Missile,Strike,,,Nuclear/Conventional,290,320,2004,Operational,Ground,,,,Solid propellant,Rapid launch capability
PAK016,Abdali,Hatf-II,Pakistan,Pakistan,Short-Range Ballistic Missile,Strike,,,Nuclear/Conventional,180,200,2002,Operational,Ground,,,,Solid propellant,Tactical battlefield role
PAK017,Fatah-II,,Pakistan,Pakistan,Guided Ballistic Missile,Strike,,,Conventional/low-yield nuclear,400,400,2025,Operational,Ground,,,,Solid propellant,Hypersonic precision-guided
PAK018,Zarb,,Pakistan,Pakistan,Anti-Ship Cruise Missile,Strike,,,HE,280,300,2016,Operational,Coastal defence/Ship,,,,Turbojet,Coastal defence; sea-skimming capability
PAK019,Harba,,Pakistan,Pakistan,Ship-Launched Cruise Missile,Strike,,,HE,300,450,2017,Operational,Naval,,,,Turbojet,Enhances naval strike capabilities
PAK020,Hatf-I,,Pakistan,Pakistan,Short-Range Ballistic Missile,Strike,6,,Conventional,70,100,1995,Operational,Ground,0.56,,Solid propellant,Earliest Pakistani SRBM,
