Missile_ID,Missile_Name,Alternate_Name,Country_of_Origin,Country_of_Possession,Missile_Class,Missile_Type,Length_m,Launch_Weight_kg,Warhead_Type,Range_min_km,Range_max_km,Year_Introduced,Operational_Status,Launch_Basing,Diameter_m,Payload_kg,Propulsion_Type,Notes,Unnamed: 19,Range_Category,Decade
IRN022,Shahab-2,,Iran,Iran,Short-Range Ballistic Missile,Strike,11.0,,HE,500.0,500.0,1990.0,Active,Ground,0.88,750,Liquid,Based on Scud-C,,Medium Range,1990
IRN004,Shahab-3,,Iran,Iran,Medium-Range Ballistic Missile,Strike,16.0,,HE,800.0,1300.0,2003.0,Active,Ground,1.35,1000,Liquid,Core of Iran's MRBM arsenal,,Intermediate Range,2000
IRN016,Soumar,,Iran,Iran,Land-Attack Cruise Missile,Strike,7.0,,HE,2000.0,2500.0,2015.0,Active,Ground,,,Turbojet,Reverse-engineered Kh-55,,Intermediate Range,2010
IRN028,Toophan,BGM-71 TOW copy,Iran,Iran,Anti-Tank Guided Missile,ATGM,,,HEAT,3.5,4.0,2000.0,Active,Man-portable/Vehicle,,,Solid,TOW reverse-engineered,,Short Range,2000
IRN017,Ya-Ali,,Iran,Iran,Cruise Missile,Strike,5.0,,HE,700.0,700.0,2015.0,Active,Ground,,,Turbojet,Short-range cruise missile,,Medium Range,2010
IRN009,Zolfaghar,,Iran,Iran,Short-Range Ballistic Missile,Strike,10.0,,HE,700.0,700.0,2017.0,Active,Ground,,579,Solid,Precision-strike variant of Fateh-110,,Medium Range,2010
ISR029,ACCULAR,Precision Rocket,Israel,Israel,Guided Artillery Rocket,Strike,4.0,650.0,HE blast/penetration,40.0,40.0,2015.0,Active,Ground-launched,0.2,120,Solid propellant,Precision-guided rocket; 10m CEP; based on LAR-160,,Short Range,2010
ISR011,Barak ER,Extended Range,Israel,Israel,Surface-to-Air Missile,Interceptor,4.5,280.0,HE blast-fragmentation,150.0,150.0,2023.0,Active,Vertical launch,0.2,60,Two-stage solid propellant,Extended range variant with larger booster,,Short Range,2020
ISR020,Blue Sparrow,Sparrow variant,Israel,Israel,Target Missile,Target/Test,8.3,3100.0,Test instrumentation,2000.0,2000.0,2010.0,Active,Air-launched,0.8,,Two-stage solid propellant,Simulates Iraqi Scud and Iranian Shahab missiles,,Intermediate Range,2010
ISR013,C-Dome,Sea-Iron Dome,Israel,Israel,Naval Air Defense,Interceptor,3.0,90.0,HE blast-fragmentation,4.0,70.0,2017.0,Active,Ship-launched,0.15,11,Solid propellant,Naval version of Iron Dome; first operational use 2024,,Short Range,2010
ISR008,Delilah,Star-1,Israel,Israel,Air-Launched Cruise Missile,Strike,2.7,187.0,HE fragmentation,250.0,250.0,1995.0,Active,"Air, surface, sea-launched",0.3,30,Turbojet,"Multi-platform loitering missile; can search, identify, attack targets",,Short Range,1990
ISR022,EXTRA,Extra Range Artillery,Israel,Israel,Long-Range Artillery Rocket,Strike,5.2,1300.0,"HE blast/penetration, submunitions",150.0,150.0,2010.0,Active,Ground-launched,0.3,120,Solid propellant,INS/GPS guidance; 10m CEP,,Short Range,2010
ISR031,Gabriel Family,Family of Anti-Ship Missiles,Israel,Israel,Anti-Ship Missile,Strike,4.45,875.0,HE blast,35.0,400.0,1970.0,Active,"Ship, ground, air-launched",0.35,125,Turbojet/rocket,Evolutionary family of anti-ship missiles; Gabriel I-V variants,,Medium Range,1970
ISR009,Gabriel V,Advanced Gabriel,Israel,Israel,Anti-Ship Cruise Missile,Strike,5.5,1250.0,HE blast/penetration,400.0,400.0,2020.0,Active,"Ship, ground-launched",0.4,150,Turbojet + booster,5th generation sea-skimming missile; networked warfare capability,,Medium Range,2020
ISR005,Golden Horizon,ALBM/Sparrow derivative,Israel,Israel,Air-Launched Ballistic Missile,Strike,8.3,3100.0,Penetration warhead,1000.0,2000.0,2025.0,Active,Air-launched,0.8,,Two-stage solid propellant,Hypersonic speeds (Mach 5+); offered to India,,Intermediate Range,2020
ISR012,Iron Dome Interceptor,Tamir,Israel,Israel,Short-Range Air Defense,Interceptor,3.0,90.0,HE blast-fragmentation,4.0,70.0,2011.0,Active,"Ground, ship",0.15,11,Solid propellant,"Designed to intercept rockets, mortars, drones; $40,000 per missile",,Short Range,2010
ISR001,Jericho-I,YA-1,Israel,Israel,Short-Range Ballistic Missile,Strike,13.4,6500.0,"Nuclear, HE",500.0,500.0,1973.0,Active,Road/rail-mobile,0.8,1000,Single-stage solid propellant,First Israeli indigenous ballistic missile; 50 believed nuclear-capable,,Medium Range,1970
ISR002,Jericho-II,YA-2,Israel,Israel,Medium-Range Ballistic Missile,Strike,14.0,13000.0,"Nuclear, HE",1500.0,1500.0,1990.0,Active,Road/rail-mobile,1.0,1000,Two-stage solid propellant,Improved range variant; approximately 50 nuclear-capable missiles deployed,,Intermediate Range,1990
ISR003,Jericho-III,YA-3,Israel,Israel,Intermediate-Range Ballistic Missile,Strike,15.5,30000.0,"Nuclear, HE",4800.0,6500.0,2011.0,Active,Road/rail-mobile,1.5,1150,Three-stage solid propellant,Longest-range Israeli ballistic missile,,Intercontinental Range,2010
ISR021,LORA,Loitering Ordnance,Israel,Israel,Quasi-Ballistic Missile,Strike,5.2,1600.0,"HE blast/penetration, submunitions",400.0,400.0,2015.0,Active,"Ground, ship-launched",0.6,400,Single-stage solid propellant,10m CEP; ship and land-attack missile,,Medium Range,2010
ISR028,MARS,LAR-160,Israel,Israel,Multiple Launch Rocket System,Strike,4.0,650.0,"HE, submunitions",45.0,45.0,1980.0,Active,Ground-launched,0.2,100,Solid propellant,Multiple artillery rocket system,,Short Range,1980
ISR027,Maritime Extended Range Missile,Advanced Naval Missile,Israel,Israel,Naval Strike Missile,Strike,5.5,1300.0,HE blast/penetration,350.0,350.0,2022.0,Active,Ship-launched,0.4,150,Turbojet,Advanced naval strike missile for Israeli Navy,,Medium Range,2020
ISR024,Nimrod,Family of Missiles,Israel,Israel,Precision Guided Missile,Strike,2.5,100.0,"HEAT, HE blast",26.0,50.0,1990.0,Active,"Ground, air, sea-launched",0.15,22.5,Solid propellant,Family of long-range precision missiles; various sizes,,Short Range,1990
ISR007,Popeye,AGM-142 Have Nap,Israel,Israel,Air-to-Surface Cruise Missile,Strike,4.8,1360.0,"HE blast/penetration, nuclear-capable",80.0,80.0,1985.0,Active,Air-launched,0.5,360,Turbojet,"Precision stand-off missile; exported to US, Turkey, South Korea",,Short Range,1980
ISR023,Predator Hawk,Loitering Missile,Israel,Israel,Loitering Munition,Strike,2.5,150.0,HE blast,300.0,300.0,2020.0,Active,Ground/air-launched,0.2,30,Propeller engine,Long-range loitering munition; can orbit for hours before striking,,Medium Range,2020
ISR030,RA'AM,Heavy Missile Family,Israel,Israel,Heavy Air-to-Surface Missile,Strike,4.5,1200.0,HE penetration,100.0,100.0,1980.0,Active,Air-launched,0.4,300,Solid propellant,Heavy air-to-surface missile family for IAF,,Short Range,1980
ISR006,RAMPAGE,Air-Launched Missile,Israel,Israel,Air-to-Surface Missile,Strike,4.7,570.0,High explosive,150.0,250.0,2020.0,Active,Air-launched,0.3,150,Solid propellant,Based on ground-launched artillery rocket technology,,Short Range,2020
ISR004,ROCKS,Air-Launched Ballistic Missile,Israel,Israel,Air-Launched Ballistic Missile,Strike,5.0,,Blast-fragmentation/Penetration,250.0,250.0,2020.0,Active,Air-launched,0.5,500,Solid propellant,3m CEP accuracy; INS/GPS + electro-optical guidance,,Short Range,2020
ISR026,Sea Breaker,5th Gen Missile,Israel,Israel,Long-Range Precision Missile,Strike,4.0,400.0,HE blast/penetration,300.0,300.0,2023.0,Active,"Ship, ground-launched",0.3,100,Turbojet,5th generation autonomous missile; advanced target recognition,,Medium Range,2020
ISR019,Sparrow Family,Silver Sparrow,Israel,Israel,Target Missile,Target/Test,8.3,3100.0,Test instrumentation,2000.0,2000.0,2000.0,Active,Air-launched,0.8,,Two-stage solid propellant,Family of target missiles simulating ballistic threats for Arrow testing,,Intermediate Range,2000
ISR025,Spike NLOS,Long-Range Missile,Israel,Israel,Multi-Purpose Guided Missile,Strike,1.7,70.0,"HEAT, HE blast, penetration",32.0,32.0,2010.0,Active,"Ground, air, sea-launched",0.17,8,Solid propellant,Non-line-of-sight precision missile; fiber-optic/RF guidance,,Short Range,2010
ISR010,Barak 8,LRSAM,Israel/India,Israel/India,Surface-to-Air Missile,Interceptor,4.5,275.0,HE blast-fragmentation,70.0,100.0,2017.0,Active,"Ship, ground-launched",0.2,60,Two-stage solid propellant,Long-range SAM; developed with DRDO,,Short Range,2010
ISR016,Arrow 2,Hetz 2,Israel/US,Israel,Upper-Tier Air Defense,Interceptor,6.8,1300.0,Fragmentation warhead,90.0,90.0,2000.0,Active,Ground-launched,0.8,,Two-stage solid propellant,Terminal phase interception in upper atmosphere; altitude 50km,,Short Range,2000
ISR017,Arrow 3,Hetz 3,Israel/US,Israel,Exo-Atmospheric Air Defense,Interceptor,6.8,1400.0,Kinetic hit-to-kill,2400.0,2400.0,2017.0,Active,Ground-launched,0.8,,Three-stage solid propellant,Exo-atmospheric interception; altitude 100km+; hypersonic interceptor,,Intermediate Range,2010
ISR018,Arrow 4,Hetz 4,Israel/US,Israel,Next-Generation Air Defense,Interceptor,7.0,1500.0,Kinetic hit-to-kill,3000.0,3000.0,2025.0,In development,Ground-launched,0.8,,Advanced solid propellant,Advanced version of Arrow 3 with enhanced capabilities,,Intermediate Range,2020
ISR014,David's Sling,Stunner,Israel/US,Israel,Medium-Range Air Defense,Interceptor,4.6,280.0,Kinetic hit-to-kill,40.0,300.0,2017.0,Active,Ground-launched,0.3,,Two-stage solid propellant,Co-developed with Raytheon; hit-to-kill technology,,Medium Range,2010
ISR015,David's Sling,SkyCeptor,Israel/US,Israel,Medium-Range Air Defense,Interceptor,4.6,280.0,Kinetic hit-to-kill,40.0,300.0,2017.0,Active,Ground-launched,0.3,,Two-stage solid propellant,Export version of Stunner,,Medium Range,2010
GBR011,Naval Strike Missile,NSM,Norway/UK,UK,Anti-Ship/Land-Attack Missile,Strike,3.96,407.0,HE,200.0,200.0,2025.0,Active,Ship,0.32,125,Turbojet,Replaces Harpoon,,Short Range,2020
PAK005,Ababeel,,Pakistan,Pakistan,Medium-Range Ballistic Missile with MIRV,Strike,,,Nuclear,2200.0,2200.0,2017.0,Active,Ground,,,,Solid propellant,Multiple independently targetable warheads; response to Indian BMD,Intermediate Range,2010
PAK016,Abdali,Hatf-II,Pakistan,Pakistan,Short-Range Ballistic Missile,Strike,,,Nuclear/Conventional,180.0,200.0,2002.0,Active,Ground,,,,Solid propellant,Tactical battlefield role,Short Range,2000
PAK028,Anza Mk-I/II/III,,Pakistan,Pakistan,Man-Portable Air Defense System,MAMPADS,1.5,,HE fragmentation,4.0,6.0,1995.0,Active,Man-portable,0.072,,Solid propellant,Indigenous MANPADS; Mk-III most advanced,,Short Range,1990
PAK010,Babur,Hatf-VII,Pakistan,Pakistan,Land-Attack Cruise Missile,Strike,,,Nuclear/Conventional,350.0,700.0,2005.0,Active,Ground,,,,Turbojet,Multiple variants including Block 2 with stealth features,Medium Range,2000
PAK011,Babur-3,,Pakistan,Pakistan,Submarine-Launched Cruise Missile,Strike,,,Nuclear,450.0,450.0,2017.0,Active,Submarine,,,,Turbojet,Nuclear second-strike capability; tested from submerged platform,Medium Range,2010
PAK003,Fatah-4,,Pakistan,Pakistan,Ground-Launched Cruise Missile,Strike,,1530.0,HE,750.0,750.0,2025.0,Active,Ground,,,,Turbojet,5m CEP accuracy; carries 3 canisters per TEL,Medium Range,2020
PAK030,Fatah-I,,Pakistan,Pakistan,Guided Artillery Rocket,Strike,,,HE,120.0,150.0,2023.0,Active,Ground,,,Solid propellant,First of Fatah series; INS+GPS,,Short Range,2020
PAK017,Fatah-II,,Pakistan,Pakistan,Guided Ballistic Missile,Strike,,,Conventional/low-yield nuclear,400.0,400.0,2025.0,Active,Ground,,,,Solid propellant,Hypersonic precision-guided,Medium Range,2020
PAK031,Fatah-II (early version),,Pakistan,Pakistan,Guided Artillery Rocket,Strike,,,HE,120.0,120.0,2024.0,Active,Ground,,,Solid propellant,Tested during Ex Indus 2024,,Short Range,2020
PAK006,Ghauri,Hatf-V,Pakistan,Pakistan,Medium-Range Ballistic Missile,Strike,15.9,,Nuclear/Conventional,1250.0,1500.0,1998.0,Active,Ground,1.35,,Liquid propellant,Based on North Korean Nodong design; covers major Indian cities,,Intermediate Range,1990
PAK009,Ghauri-II,,Pakistan,Pakistan,Medium-Range Ballistic Missile,Strike,,,Nuclear/Conventional,2000.0,2000.0,2002.0,Active,Ground,,,,Liquid propellant,Upgraded Ghauri variant,Intermediate Range,2000
PAK015,Ghaznavi,Hatf-III,Pakistan,Pakistan,Short-Range Ballistic Missile,Strike,,,Nuclear/Conventional,290.0,320.0,2004.0,Active,Ground,,,,Solid propellant,Rapid launch capability,Medium Range,2000
PAK027,Green Arrow,,Pakistan,Pakistan,Anti-Tank Guided Missile,ATGM,,,HEAT,3.0,4.0,2010.0,Active,Man-portable/Vehicle,,,Solid propellant,Licensed Baktar Shikan variant,,Short Range,2010
PAK029,Hafr-1,,Pakistan,Pakistan,Artillery Rocket,Strike,,,HE/cluster,50.0,70.0,2010.0,Active,Ground,,,Solid propellant,Part of MLRS inventory,,Short Range,2010
PAK019,Harba,,Pakistan,Pakistan,Ship-Launched Cruise Missile,Strike,,,HE,300.0,450.0,2017.0,Active,Naval,,,,Turbojet,Enhances naval strike capabilities,Medium Range,2010
